CardCode,AccNum,FeeNum,MonDeal,DealerNum,DealTime,StaNum,OptNum,RecFlag,DealPeriodNo
341,10412,1,0,0,2018-09-29 15:33:18.030,1,1001,1,-1
341,10412,35,0,0,2018-09-29 15:33:38.127,1,1001,1,-1
343,10496,1,0,0,2018-09-29 15:34:21.643,1,1001,1,-1
343,10496,35,0,0,2018-09-29 15:34:39.227,1,1001,1,-1
345,10355,1,0,0,2018-09-29 15:35:46.753,1,1001,1,-1
346,10349,1,0,0,2018-09-29 15:36:02.360,1,1001,1,-1
346,10349,35,0,0,2018-09-29 15:36:20.263,1,1001,1,-1
348,10481,1,0,0,2018-09-29 15:36:40.407,1,1001,1,-1
348,10481,35,0,0,2018-09-29 15:37:02.680,1,1001,1,-1
350,10486,1,0,0,2018-09-29 15:37:30.190,1,1001,1,-1
351,10351,1,0,0,2018-09-29 15:37:48.977,1,1001,1,-1
352,10356,1,0,0,2018-09-29 15:38:06.733,1,1001,1,-1
352,10356,35,0,0,2018-09-29 15:38:26.220,1,1001,1,-1
354,10353,1,0,0,2018-09-29 15:38:46.363,1,1001,1,-1
354,10353,35,0,0,2018-09-29 15:39:02.453,1,1001,1,-1
356,10354,1,0,0,2018-09-29 15:39:27.467,1,1001,1,-1
357,10381,1,0,0,2018-09-29 15:41:44.340,1,1001,1,-1
357,10381,35,0,0,2018-09-29 15:42:30.087,1,1001,1,-1
359,10445,1,0,0,2018-09-29 15:43:12.887,1,1001,1,-1
360,10345,1,0,0,2018-09-29 15:43:42.747,1,1001,1,-1
361,10313,1,0,0,2018-09-29 15:44:33.150,1,1001,1,-1
362,10338,1,0,0,2018-09-29 15:44:57.543,1,1001,1,-1
362,10338,35,0,0,2018-09-29 15:45:17.480,1,1001,1,-1
363,10338,35,0,0,2018-09-29 15:45:29.260,1,1001,1,-1
365,10553,1,0,0,2018-09-29 15:48:29.083,1,1001,1,-1
366,10554,1,0,0,2018-09-29 15:49:15.997,1,1001,1,-1
367,10342,1,0,0,2018-09-29 15:50:21.290,1,1001,1,-1
367,10342,35,0,0,2018-09-29 15:50:43.867,1,1001,1,-1
369,10358,1,0,0,2018-09-29 15:51:20.450,1,1001,1,-1
369,10358,35,0,0,2018-09-29 15:51:38.420,1,1001,1,-1
371,10343,1,0,0,2018-09-29 15:51:56.783,1,1001,1,-1
371,10343,35,0,0,2018-09-29 15:52:12.790,1,1001,1,-1
373,10340,1,0,0,2018-09-29 15:52:31.877,1,1001,1,-1
